17:31:21.917 [main] DEBUG - Save package relationships
17:31:21.918 [main] DEBUG - Save part 'docProps/app.xml'
17:31:21.918 [main] DEBUG - Save part 'docProps/core.xml'
17:31:21.919 [main] DEBUG - Save part 'xl/sharedStrings.xml'
17:31:21.919 [main] DEBUG - Save part 'xl/styles.xml'
17:31:21.920 [main] DEBUG - Save part 'xl/theme/theme1.xml'
17:31:21.920 [main] DEBUG - Save part 'xl/workbook.xml'
17:31:21.921 [main] DEBUG - Save part 'xl/worksheets/sheet1.xml'
17:31:21.921 [main] DEBUG - Save part 'xl/worksheets/sheet2.xml'
17:31:21.921 [main] DEBUG - Save part 'xl/worksheets/sheet3.xml'
17:31:21.921 [main] DEBUG - Save part 'xl/worksheets/sheet4.xml'
17:31:21.937 [main] INFO  - **** Finished TC_001_UpcomingBike ****
17:35:55.549 [main] INFO  - **** Starting TC_003_LoginSignup ****
17:35:55.553 [main] INFO  - Navigating to the homepage
17:35:57.257 [main] INFO  - Clicking on the Login/Signup button
17:36:03.394 [main] INFO  - Selecting the Google button
17:36:11.653 [main] INFO  - Verifying that the Login/SignUp card is displayed
17:36:18.883 [main] INFO  - Navigating to the Google Accounts sign in page
17:36:35.063 [main] INFO  - Entering email
17:36:35.172 [main] INFO  - Clicking on the next button
17:36:40.531 [main] INFO  - Capturing error message
17:36:50.573 [main] INFO  - **** Finished TC_003_LoginSignup ****
17:36:56.658 [main] INFO  - **** Starting TC_002_UsedCar ****
17:36:56.658 [main] INFO  - Navigating to the homepage
17:36:56.714 [main] INFO  - Hovering over and selecting used cars
17:36:56.939 [main] INFO  - Selecting Chennai used cars
17:37:02.391 [main] INFO  - Checking that the popular models are displayed
17:37:03.392 [main] DEBUG - Parsing relationship: /xl/_rels/workbook.xml.rels
17:37:03.395 [main] DEBUG - Parsing relationship: /_rels/.rels
17:37:03.570 [main] TRACE - Loading type system org.apache.poi.schemas.ooxml.system.ooxml
17:37:03.573 [main] TRACE - Loading type system org.apache.xmlbeans.metadata.system.sXMLCONFIG
17:37:03.574 [main] TRACE - Loading type system org.apache.xmlbeans.metadata.system.sXMLLANG
17:37:03.574 [main] TRACE - Loading type system org.apache.xmlbeans.metadata.system.sXMLSCHEMA
17:37:03.574 [main] TRACE - Loading type system org.apache.xmlbeans.metadata.system.sXMLTOOLS
17:37:03.576 [main] TRACE - Reading unresolved handles for type system org.apache.xmlbeans.metadata.system.sXMLTOOLS
17:37:03.587 [main] TRACE - Finished loading type system org.apache.xmlbeans.metadata.system.sXMLTOOLS
